ImageName n;Date;MaskName;ImageCutName;ImageHorizontalSobelName;ImageVerticalSobelName;HorizontalPixelNumber;VerticalPixelNumber;DirectionPlanches
Agentera 1 & 2.jpg;2015:04:30 15:02:33;Agentera 1 & 2masque.jpg;Agentera 1 & 2imageDecoup.jpg;Traitements/Sobel_h_Agentera 1 & 2imageDecoup.jpg;Traitements/Sobel_v_Agentera 1 & 2imageDecoup.jpg;7106582;7119793;vertical
aint-Gervais - Bionnasay 4c.jpg;2016:10:31 10:54:35;aint-Gervais - Bionnasay 4cmasque.jpg;aint-Gervais - Bionnasay 4cimageDecoup.jpg;Traitements/Sobel_h_aint-Gervais - Bionnasay 4cimageDecoup.jpg;Traitements/Sobel_v_aint-Gervais - Bionnasay 4cimageDecoup.jpg;6255624;6217280;horizontal
Ala di Stura.jpg;2013:05:04 19:08:54;Ala di Sturamasque.jpg;Ala di SturaimageDecoup.jpg;Traitements/Sobel_h_Ala di SturaimageDecoup.jpg;Traitements/Sobel_v_Ala di SturaimageDecoup.jpg;5060774;5087353;vertical
Alagna - Bundino 2 (vue arrière d'une maison).jpg;2013:05:08 11:37:37;Alagna - Bundino 2 (vue arrière d'une maison)masque.jpg;Alagna - Bundino 2 (vue arrière d'une maison)imageDecoup.jpg;Traitements/Sobel_h_Alagna - Bundino 2 (vue arrière d'une maison)imageDecoup.jpg;Traitements/Sobel_v_Alagna - Bundino 2 (vue arrière d'une maison)imageDecoup.jpg;5428134;5426142;horizontal
Alagna - Bundino.jpg;2013:05:08 11:34:00;Alagna - Bundinomasque.jpg;Alagna - BundinoimageDecoup.jpg;Traitements/Sobel_h_Alagna - BundinoimageDecoup.jpg;Traitements/Sobel_v_Alagna - BundinoimageDecoup.jpg;1313141;1298583;horizontal
Alagna - Doss (Diss) .jpg;2013:05:08 11:10:07;Alagna - Doss (Diss) masque.jpg;Alagna - Doss (Diss) imageDecoup.jpg;Traitements/Sobel_h_Alagna - Doss (Diss) imageDecoup.jpg;Traitements/Sobel_v_Alagna - Doss (Diss) imageDecoup.jpg;5703229;5661568;horizontal
Alagna - Doss (Diss) 2 c.jpg;2013:05:08 11:17:23;Alagna - Doss (Diss) 2 cmasque.jpg;Alagna - Doss (Diss) 2 cimageDecoup.jpg;Traitements/Sobel_h_Alagna - Doss (Diss) 2 cimageDecoup.jpg;Traitements/Sobel_v_Alagna - Doss (Diss) 2 cimageDecoup.jpg;11030391;11034210;vertical
Alagna - In d'Ekko 1 (annexe four à pains).jpg;2013:05:08 10:38:15;Alagna - In d'Ekko 1 (annexe four à pains)masque.jpg;Alagna - In d'Ekko 1 (annexe four à pains)imageDecoup.jpg;Traitements/Sobel_h_Alagna - In d'Ekko 1 (annexe four à pains)imageDecoup.jpg;Traitements/Sobel_v_Alagna - In d'Ekko 1 (annexe four à pains)imageDecoup.jpg;4142248;4126025;horizontal
Alagna - In d'Ekko 1 b.jpg;2013:05:08 10:22:28;Alagna - In d'Ekko 1 bmasque.jpg;Alagna - In d'Ekko 1 bimageDecoup.jpg;Traitements/Sobel_h_Alagna - In d'Ekko 1 bimageDecoup.jpg;Traitements/Sobel_v_Alagna - In d'Ekko 1 bimageDecoup.jpg;10024506;10030058;vertical
Alagna - In d'Ekko 1 f (extension toit).jpg;2013:05:08 10:23:21;Alagna - In d'Ekko 1 f (extension toit)masque.jpg;Alagna - In d'Ekko 1 f (extension toit)imageDecoup.jpg;Traitements/Sobel_h_Alagna - In d'Ekko 1 f (extension toit)imageDecoup.jpg;Traitements/Sobel_v_Alagna - In d'Ekko 1 f (extension toit)imageDecoup.jpg;10969374;10953732;horizontal
Alagna - in d'Ekko 2.jpg;2013:05:08 12:00:44;Alagna - in d'Ekko 2masque.jpg;Alagna - in d'Ekko 2imageDecoup.jpg;Traitements/Sobel_h_Alagna - in d'Ekko 2imageDecoup.jpg;Traitements/Sobel_v_Alagna - in d'Ekko 2imageDecoup.jpg;5550481;5481597;horizontal
Alagna - Pedemonte 1 a.jpg;2013:05:07 15:49:20;Alagna - Pedemonte 1 amasque.jpg;Alagna - Pedemonte 1 aimageDecoup.jpg;Traitements/Sobel_h_Alagna - Pedemonte 1 aimageDecoup.jpg;Traitements/Sobel_v_Alagna - Pedemonte 1 aimageDecoup.jpg;2446227;2389319;horizontal
Alagna - Pedemonte 3 & 4.jpg;2013:05:07 15:50:59;Alagna - Pedemonte 3 & 4masque.jpg;Alagna - Pedemonte 3 & 4imageDecoup.jpg;Traitements/Sobel_h_Alagna - Pedemonte 3 & 4imageDecoup.jpg;Traitements/Sobel_v_Alagna - Pedemonte 3 & 4imageDecoup.jpg;6262982;6198898;horizontal
Alagna - Pedemonte 5.jpg;2013:05:07 15:56:20;Alagna - Pedemonte 5masque.jpg;Alagna - Pedemonte 5imageDecoup.jpg;Traitements/Sobel_h_Alagna - Pedemonte 5imageDecoup.jpg;Traitements/Sobel_v_Alagna - Pedemonte 5imageDecoup.jpg;9997112;10043868;vertical
Alagna - Wold 1 & 2.jpg;2013:05:07 16:15:18;Alagna - Wold 1 & 2masque.jpg;Alagna - Wold 1 & 2imageDecoup.jpg;Traitements/Sobel_h_Alagna - Wold 1 & 2imageDecoup.jpg;Traitements/Sobel_v_Alagna - Wold 1 & 2imageDecoup.jpg;553380;548495;horizontal
Alagna - Wold 1 b.jpg;2013:05:07 16:18:06;Alagna - Wold 1 bmasque.jpg;Alagna - Wold 1 bimageDecoup.jpg;Traitements/Sobel_h_Alagna - Wold 1 bimageDecoup.jpg;Traitements/Sobel_v_Alagna - Wold 1 bimageDecoup.jpg;4718269;4658658;horizontal
